"","X.1","X","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","latitude","longitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"219",219,219,26922,NA,2011,"Tuesday","Auto","Parked Vehicle","Amory St"," Amory St &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"220",220,220,27109,NA,2011,"","Auto","Auto","Alewife Brook Pky"," Alewife Brook Pky &  Cambridge, MA",42.3768005,-71.1483002,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"221",221,221,26932,NA,2011,"Thursday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"222",222,222,26959,NA,2011,"","Auto","Parked Vehicle","MOUNT AUBURN ST"," MOUNT AUBURN ST &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","5","1",NA,NA,NA,NA,NA,NA,"Spring"
"223",223,223,26960,NA,2011,"","Auto","Auto","MEMORIAL DR"," MEMORIAL DR &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"224",224,224,26966,NA,2011,"Thursday","MBTA Bus","Parked Vehicle","GARDEN ST"," GARDEN ST &  Cambridge, MA",42.3768005,-71.1483002,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"225",225,225,26967,NA,2011,"Thursday","Taxi","Parked Vehicle","MOUNT AUBURN ST"," MOUNT AUBURN ST &  Cambridge, MA",42.3768005,-71.1483002,"rain","5","1",NA,NA,NA,NA,NA,NA,"Spring"
"226",226,226,26985,NA,2011,"Friday","Auto","Parked Vehicle","Alewife Brook Pky"," Alewife Brook Pky &  Cambridge, MA",42.3768005,-71.1483002,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"227",227,227,26975,NA,2011,"Saturday","Auto","Parked Vehicle","Cambridgeside Pl"," Cambridgeside Pl &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"228",228,228,26978,NA,2011,"Saturday","Auto","Parked Vehicle","Cambridgeside Pl"," Cambridgeside Pl &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"229",229,229,26990,NA,2011,"Tuesday","Auto","Auto","Fresh Pond Ln"," Fresh Pond Ln &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"230",230,230,30216,NA,2012,"Monday","Auto","Auto","Austin Park"," Austin Park &  Cambridge, MA",42.3768005,-71.1483002,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"231",231,231,30220,NA,2012,"Sunday","Auto","Parked Vehicle","Coolidge Ave"," Coolidge Ave &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"232",232,232,30725,NA,2012,"","","","","  &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"233",233,233,30227,NA,2012,"Tuesday","Auto","Fixed Object","Technology Sq"," Technology Sq &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"234",234,234,30237,NA,2012,"Friday","Auto","Auto","Porter Sq"," Porter Sq &  Cambridge, MA",42.3768005,-71.1483002,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"235",235,235,30254,NA,2012,"Thursday","Auto","Auto","Portland St"," Portland St &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"236",236,236,30286,NA,2012,"Sunday","Auto","Parked Vehicle","HILLIARD ST"," HILLIARD ST &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"237",237,237,30281,NA,2012,"Wednesday","Auto","Auto","GARDEN ST"," GARDEN ST & GARDEN ST Cambridge, MA",42.3768005,-71.1483002,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"238",238,238,30311,NA,2012,"Thursday","Auto","Auto","HURON AVE"," HURON AVE & SHERMAN ST Cambridge, MA",42.3768005,-71.1483002,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"239",239,239,30335,NA,2012,"Sunday","Auto","Pedestrian","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",42.3768005,-71.1483002,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"240",240,240,30368,NA,2012,"Monday","Auto","Parked Vehicle","HOLYOKE ST"," HOLYOKE ST &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"241",241,241,30370,NA,2012,"Tuesday","Auto","Pedestrian","QUINCY ST"," QUINCY ST & LAMSON PL Cambridge, MA",42.3768005,-71.1483002,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"242",242,242,30376,NA,2012,"Wednesday","Truck","Auto","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"243",243,243,30391,NA,2012,"Monday","Auto","Parked Vehicle","FULKERSON ST"," FULKERSON ST &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"244",244,244,30406,NA,2012,"Wednesday","Auto","Parked Vehicle","JFK St"," JFK St &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"245",245,245,30407,NA,2012,"Thursday","Auto","Parked Vehicle","MEMORIAL DR"," MEMORIAL DR &  Cambridge, MA",42.3768005,-71.1483002,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
