"","X.1","X","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","latitude","longitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"1165",1165,1165,1600000557,NA,2016,"Friday","PASSENGER CAR","","MAIN STREET( NORTH BLDG. SIDE)","610 MAIN STREET( NORTH BLDG. SIDE)",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1166",1166,1166,1600000572,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","ALEWIFE GARAGE","ALEWIFE GARAGE & CAMBRIDGE PARK PL",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1167",1167,1167,1600000579,NA,2016,"Wednesday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","BRATTLE","BRATTLE",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1168",1168,1168,1600000581,NA,2016,"Wednesday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1169",1169,1169,1600000583,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","FULKERSON STREET","FULKERSON STREET",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1170",1170,1170,1600000584,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","BROADWAY","150 BROADWAY",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1171",1171,1171,1600000589,NA,2016,"Thursday","BUS SEATS 7 - 15 PEOPLE","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","MASS. AVE.","MASS. AVE.",42.3564,-71.110452,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1172",1172,1172,1600000601,NA,2016,"Thursday","PASSENGER CAR","PASSENGER CAR","WINDSOR ST","WINDSOR ST",42.3564,-71.110452,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1173",1173,1173,1600000592,NA,2016,"Friday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","MT. AUBURN STREET(OPP.)","699 MT. AUBURN STREET(OPP.)",42.3564,-71.110452,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1174",1174,1174,1600000603,NA,2016,"Saturday","PASSENGER CAR","","BRATTLE STREET","BRATTLE STREET",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1175",1175,1175,1600000597,NA,2016,"Saturday","PASSENGER CAR","PASSENGER CAR","CHILTON STREET","CHILTON STREET",42.3564,-71.110452,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1176",1176,1176,1600000615,NA,2016,"Saturday","PASSENGER CAR","","RINDGE AVE PARKING LOT","402 RINDGE AVE PARKING LOT",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1177",1177,1177,1600000598,NA,2016,"Saturday","PASSENGER CAR","","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1178",1178,1178,1600000607,NA,2016,"Tuesday","PASSENGER CAR","","RIVER STREET","RIVER STREET",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1179",1179,1179,1600000610,NA,2016,"Wednesday","BUS SEATS MORE THAN 15 PEOPLE","","AMES ST","AMES ST",42.3564,-71.110452,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1180",1180,1180,1600000611,NA,2016,"Wednesday","PASSENGER CAR","","MASSACHUSETTS AVENUE","MASSACHUSETTS AVENUE",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1181",1181,1181,1600000722,NA,2016,"Wednesday","PASSENGER CAR","PASSENGER CAR","CAMBRIDGEPARK DRIVE","CAMBRIDGEPARK DRIVE",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1182",1182,1182,1600000613,NA,2016,"Wednesday","PASSENGER CAR","","MNSGR O'BRIEN HWY","169 MNSGR O'BRIEN HWY",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1183",1183,1183,1600000614,NA,2016,"Wednesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","PROSPECT STREET","PROSPECT STREET",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1184",1184,1184,1600000616,NA,2016,"Wednesday","PASSENGER CAR","PASSENGER CAR","MASS AVVE","MASS AVVE & ALBANY ST",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1185",1185,1185,1600000620,NA,2016,"Thursday","SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)","PASSENGER CAR","MADISON STREET","MADISON STREET",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1186",1186,1186,1600000623,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","BROOKLINE STREET","BROOKLINE STREET",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1187",1187,1187,1600000624,NA,2016,"Thursday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","KIRKLAND ST","KIRKLAND ST",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1188",1188,1188,1600000626,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","WESTERN AVE","WESTERN AVE",42.3564,-71.110452,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1189",1189,1189,1600000631,NA,2016,"Friday","PASSENGER CAR","PASSENGER CAR","NEW ST","NEW ST",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1190",1190,1190,1600000632,NA,2016,"Saturday","PASSENGER CAR","PASSENGER CAR","FIRST ST","FIRST ST & O'BRIEN HWY",42.3564,-71.110452,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1191",1191,1191,1600000644,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","BINNEY ST","BINNEY ST",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1192",1192,1192,1600000645,NA,2016,"Tuesday","PASSENGER CAR","MOTORCYCLE","CAMBRIDGE ST","CAMBRIDGE ST",42.3564,-71.110452,"snow","6","2",NA,NA,NA,NA,NA,NA,"Spring"
"1193",1193,1193,1600000647,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1194",1194,1194,1600000648,NA,2016,"Tuesday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1195",1195,1195,1600000654,NA,2016,"Wednesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","MOTORCYCLE","GREEN ST","GREEN ST",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1196",1196,1196,1600000674,NA,2016,"Wednesday","PASSENGER CAR","PASSENGER CAR","FIRST ST.","FIRST ST.",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1197",1197,1197,1600000659,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","WINDSOR STREET","WINDSOR STREET",42.3564,-71.110452,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1198",1198,1198,1600000662,NA,2016,"Thursday","PASSENGER CAR","","FRESH POND MALL","FRESH POND MALL",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1199",1199,1199,1600000664,NA,2016,"Friday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","CHANNING STREET","CHANNING STREET",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1200",1200,1200,1600000672,NA,2016,"Sunday","PASSENGER CAR","","GOLD STAR RD","GOLD STAR RD",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1201",1201,1201,1600000678,NA,2016,"Monday","PASSENGER CAR","PASSENGER CAR","TOW LOT OFF MOONEY ST","TOW LOT OFF MOONEY ST",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1202",1202,1202,1600000684,NA,2016,"Tuesday","","","","",42.3564,-71.110452,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1203",1203,1203,1600000695,NA,2016,"Wednesday","PASSENGER CAR","","WINDSOR ST","WINDSOR ST",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1204",1204,1204,1600000696,NA,2016,"Thursday","PASSENGER CAR","PASSENGER CAR","MASS AVE","MASS AVE",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1205",1205,1205,1600000698,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","GREEN ST","GREEN ST",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1206",1206,1206,1600000701,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","","BROADWAY STREET",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1207",1207,1207,1600000707,NA,2016,"Friday","PASSENGER CAR","PASSENGER CAR","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1208",1208,1208,1600000709,NA,2016,"Sunday","PASSENGER CAR","PASSENGER CAR","WINDSOR STREET","WINDSOR STREET & 181 MASS AVE",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1209",1209,1209,1600000713,NA,2016,"Monday","PASSENGER CAR","PASSENGER CAR","RIVER STREET","RIVER STREET",42.3564,-71.110452,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1210",1210,1210,1600000715,NA,2016,"Monday","PASSENGER CAR","","LANDSDOWNE ST","LANDSDOWNE ST",42.3564,-71.110452,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1211",1211,1211,1600000716,NA,2016,"Monday","PASSENGER CAR","","BRATTLE STREET","BRATTLE STREET",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1212",1212,1212,1600000717,NA,2016,"Monday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","PASSENGER CAR","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1213",1213,1213,1600000725,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","CHESTNUT ST","CHESTNUT ST",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1214",1214,1214,1600000721,NA,2016,"Tuesday","PASSENGER CAR","","JFK ST","JFK ST",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1215",1215,1215,1600000732,NA,2016,"Wednesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","MASSACHUSETTS AVE","MASSACHUSETTS AVE",42.3564,-71.110452,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1216",1216,1216,1600000734,NA,2016,"Thursday","","","CHARLES ST","CHARLES ST",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1217",1217,1217,1600000747,NA,2016,"Sunday","PASSENGER CAR","","SECOND ST.","50 SECOND ST.",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1218",1218,1218,1600000749,NA,2016,"Monday","PASSENGER CAR","PASSENGER CAR","GARFIELD ST","GARFIELD ST",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1219",1219,1219,1600000751,NA,2016,"Monday","PASSENGER CAR","","KENDALL SQ","1 KENDALL SQ",42.3564,-71.110452,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1220",1220,1220,1600000754,NA,2016,"Tuesday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","CONCORD AVE","CONCORD AVE",42.3564,-71.110452,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1221",1221,1221,1600000755,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","CHARLES ST","33 CHARLES ST",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1222",1222,1222,1600000759,NA,2016,"Tuesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","SIDNEY STREET (PARKING GARAGE)","20 SIDNEY STREET (PARKING GARAGE)",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1223",1223,1223,1600000764,NA,2016,"Wednesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","BINNEY ST","320 BINNEY ST",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1224",1224,1224,1600000765,NA,2016,"Wednesday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","LAWN ST (OPP)","54 LAWN ST (OPP)",42.3564,-71.110452,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1225",1225,1225,1600000767,NA,2016,"Wednesday","PASSENGER CAR","","FAIRMONT STREET","61 FAIRMONT STREET",42.3564,-71.110452,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1226",1226,1226,1600000769,NA,2016,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","CAMBRIDGE ST","CAMBRIDGE ST",42.3564,-71.110452,"SUNNY","6","2",NA,NA,NA,NA,NA,NA,"Spring"
"1227",1227,1227,1600000774,NA,2016,"Thursday","PASSENGER CAR","","BROADWAY","BROADWAY & GALILLEO",42.3564,-71.110452,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1228",1228,1228,1600000777,NA,2016,"Friday","SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)","","MAIN STREET","MAIN STREET",42.3564,-71.110452,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1229",1229,1229,1600000782,NA,2016,"Saturday","PASSENGER CAR","","MT AUBURN","MT AUBURN",42.3564,-71.110452,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1230",1230,1230,1600000785,NA,2016,"Sunday","PASSENGER CAR","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","ALEWIFE BK PY","211 ALEWIFE BK PY",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1231",1231,1231,1600000791,NA,2016,"Sunday","","","","",42.3564,-71.110452,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1232",1232,1232,1600000793,NA,2016,"Sunday","PASSENGER CAR","","CAMBRIDGESIDE GALLERIA","100 CAMBRIDGESIDE GALLERIA",42.3564,-71.110452,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1233",1233,1233,1600000797,NA,2016,"Monday","PASSENGER CAR","OTHER","WARREN STREET","WARREN STREET",42.3564,-71.110452,"rain","4","2",NA,NA,NA,NA,NA,NA,"Spring"
"1234",1234,1234,1600000803,NA,2016,"Tuesday","PASSENGER CAR","PASSENGER CAR","KENDALL SQUARE COMPLEX #1900","1 KENDALL SQUARE COMPLEX #1900",42.3564,-71.110452,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1235",1235,1235,1600000805,NA,2016,"Wednesday","PASSENGER CAR","","","BRATTLE STREET",42.3564,-71.110452,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1236",1236,1236,1600000815,NA,2016,"Thursday","PASSENGER CAR","PASSENGER CAR","MNSR O'BRIEN HIGHWAY","",42.3564,-71.110452,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1237",1237,1237,23638,NA,2010,"Friday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1238",1238,1238,23639,NA,2010,"Friday","Taxi","Auto","Cambridge St"," Cambridge St & SCIARAPPA ST Cambridge, MA",42.371233,-71.081493,"SUNNY","6","1",NA,NA,NA,NA,NA,NA,"Spring"
"1239",1239,1239,23640,NA,2010,"Friday","Auto","Parked Vehicle","Coolidge Ave","105 Coolidge Ave Cambridge, MA",42.368662,-71.141391,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1240",1240,1240,23641,NA,2010,"Friday","Auto","Parked Vehicle","Western Ave"," Western Ave & HOWARD ST Cambridge, MA",42.364749,-71.110774,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1241",1241,1241,25270,NA,2010,"Saturday","Auto","Parked Vehicle","MAIN ST","350 MAIN ST Cambridge, MA",42.362388,-71.087276,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1242",1242,1242,23642,NA,2010,"Saturday","Truck","Fixed Object","MAGAZINE ST"," MAGAZINE ST & PRINCE ST Cambridge, MA",42.36027,-71.109809,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1243",1243,1243,23643,NA,2010,"Saturday","Auto","Auto","River St"," River St & Putnam Ave Cambridge, MA",42.362257,-71.113547,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1244",1244,1244,23644,NA,2010,"Saturday","Auto","Parked Vehicle","SHERMAN ST","91 SHERMAN ST Cambridge, MA",42.388515,-71.132696,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1245",1245,1245,23645,NA,2010,"Sunday","Auto","Auto","Clinton St","10 Clinton St Cambridge, MA",42.368201,-71.1061,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1246",1246,1246,23654,NA,2010,"Sunday","Auto","Parked Vehicle","Belmont St","18 Belmont St Cambridge, MA",42.37483,-71.151091,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1247",1247,1247,23677,NA,2010,"Sunday","Auto","Parked Vehicle","Monsignor OBrien Hwy","169 Monsignor OBrien Hwy Cambridge, MA",42.371808,-71.077769,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1248",1248,1248,23647,NA,2010,"Monday","Auto","Truck","Massachusetts Ave"," Massachusetts Ave & EVERETT ST Cambridge, MA",42.380006,-71.119917,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1249",1249,1249,23650,NA,2010,"Monday","Auto","Auto","Rogers St"," Rogers St & FIRST ST Cambridge, MA",42.365878,-71.078034,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1250",1250,1250,23651,NA,2010,"Monday","Auto","Parked Vehicle","Cambridge St","1575 Cambridge St Cambridge, MA",42.375042,-71.107169,"sleet,hail,freezing rain or drizzle","6","1",NA,NA,NA,NA,NA,NA,"Spring"
"1251",1251,1251,23652,NA,2010,"Monday","Auto","Auto","Massachusetts Ave","2360 Massachusetts Ave Cambridge, MA",42.396307,-71.129259,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1252",1252,1252,23653,NA,2010,"Monday","Auto","Parked Vehicle","HENRY ST"," HENRY ST & PEARL ST Cambridge, MA",42.356804,-71.111153,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1253",1253,1253,23655,NA,2010,"Tuesday","Auto","Auto","Hampshire St"," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1254",1254,1254,23659,NA,2010,"Wednesday","Auto","Parked Vehicle","MEAD ST","16 MEAD ST Cambridge, MA",42.38989,-71.125087,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1255",1255,1255,23657,NA,2010,"Thursday","Auto","Parked Vehicle","GRANITE ST","40 GRANITE ST Cambridge, MA",42.355031,-71.111003,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1256",1256,1256,23660,NA,2010,"Thursday","Auto","Parked Vehicle","MAGNOLIA AVE","16 MAGNOLIA AVE Cambridge, MA",42.376936,-71.107629,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1257",1257,1257,23663,NA,2010,"Thursday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave & Shepard St Cambridge, MA",42.381853,-71.119723,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1258",1258,1258,23664,NA,2010,"Thursday","Taxi","Truck","Peabody St"," Peabody St & Massachusetts Ave Cambridge, MA",42.37407,-71.118839,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1259",1259,1259,23686,NA,2010,"Thursday","Auto","Parked Vehicle","SUFFOLK ST","3 SUFFOLK ST Cambridge, MA",42.366072,-71.098852,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1260",1260,1260,23665,NA,2010,"Friday","Auto","Auto","Inman St","57 Inman St Cambridge, MA",42.369906,-71.103129,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1261",1261,1261,23666,NA,2010,"Friday","Auto","Auto","Western Ave"," Western Ave & Franklin St Cambridge, MA",42.365143,-71.106206,"rain","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1262",1262,1262,23667,NA,2010,"Friday","Auto","Truck","Cambridge St"," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,"cloudy","6","1",NA,NA,NA,NA,NA,NA,"Spring"
"1263",1263,1263,23668,NA,2010,"Friday","Auto","Auto","Massachusetts Ave","220 Massachusetts Ave Cambridge, MA",42.361242,-71.097062,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1264",1264,1264,23674,NA,2010,"Friday","Auto","Parked Vehicle","Chestnut St"," Chestnut St & MAGAZINE ST Cambridge, MA",42.358388,-71.111881,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1265",1265,1265,23679,NA,2010,"Friday","Auto","Auto","Albany St","32 Albany St Cambridge, MA",42.362156,-71.092912,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1266",1266,1266,23675,NA,2010,"Saturday","Taxi","Fixed Object","Broadway","281 Broadway Cambridge, MA",42.368262,-71.098002,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1267",1267,1267,24695,NA,2010,"Saturday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA",42.388965,-71.119695,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1268",1268,1268,23670,NA,2010,"Sunday","Auto","Auto","Cambridge St"," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123,-71.088456,"clear","6","1",NA,NA,NA,NA,NA,NA,"Spring"
"1269",1269,1269,23676,NA,2010,"Sunday","Auto","Bicycle","HARVARD ST"," HARVARD ST & QUINCY ST Cambridge, MA",42.372305,-71.115147,"SUNNY","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1270",1270,1270,23785,NA,2010,"Thursday","Auto","Auto","Broadway"," Broadway & FELTON ST Cambridge, MA",42.373967,-71.11278,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1271",1271,1271,23678,NA,2010,"Tuesday","Auto","Auto","STANDISH ST"," STANDISH ST & HURON AVE Cambridge, MA",42.381166,-71.13878,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1272",1272,1272,23684,NA,2010,"Saturday","Auto","Parked Vehicle","Walker St","24 Walker St Cambridge, MA",42.379902,-71.123854,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1273",1273,1273,23685,NA,2010,"Saturday","Auto","Parked Vehicle","SPRING ST","122 SPRING ST Cambridge, MA",42.369345,-71.08386,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1274",1274,1274,23681,NA,2010,"Wednesday","Auto","Auto","Cambridge St"," Cambridge St & QUINCY ST Cambridge, MA",42.375474,-71.114321,"clear","6","1",NA,NA,NA,NA,NA,NA,"Spring"
"1275",1275,1275,23687,NA,2010,"Wednesday","Taxi","Pedestrian","PEARL ST"," PEARL ST & Franklin St Cambridge, MA",42.363651,-71.103735,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1276",1276,1276,23713,NA,2010,"Wednesday","Auto","Parked Vehicle","Richdale Ave","147 Richdale Ave Cambridge, MA",42.389274,-71.126525,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"1277",1277,1277,23688,NA,2010,"Thursday","Auto","Auto","Magee St"," Magee St & Putnam Ave Cambridge, MA",42.366393,-71.11356,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1278",1278,1278,23689,NA,2010,"Thursday","Auto","Parked Vehicle","Winter St","65 Winter St Cambridge, MA",42.372764,-71.081451,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"1279",1279,1279,23690,NA,2010,"Thursday","Auto","Parked Vehicle","Bennett St","1 Bennett St Cambridge, MA",42.371983,-71.12251,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
